year,cagr_pct,maxdd_pct,sharpe
2005,2.5693596841936506,-2.4221078431322804,2.216923704351044
2006,10.411867628304815,-5.3288123843779625,1.926301777212405
2007,16.81932117372491,-7.371394397168141,1.4213633743560048
2008,11.825598758843615,-6.181770141744552,1.266587800836227
2009,11.72248224052439,-4.947327301741919,1.5734356687502005
2010,9.686579658764938,-8.79131010118214,0.8157419648738002
2011,9.305047532816179,-11.361862449491161,0.7548750483717552
2012,10.139943229566374,-8.002831220865867,1.0338586253623945
2013,24.801382703563778,-3.30598869617917,2.6773930735068645
2014,30.264442690027458,-3.302005797417045,2.9073260415722504
2015,8.904286205933222,-9.128644301204613,0.8836095924398951
2016,-1.8781782925218038,-7.431754960274173,-0.18528768490913022
2017,22.024660098419034,-3.2357567834848964,2.4020000445547924
2018,-5.319087571478809,-13.66964522741256,-0.3000504971428644
2019,9.55249589095397,-6.724225230773525,1.0936480951623762
2020,16.027744568970913,-12.361781701082153,0.9644197272755216
2021,9.902132307828992,-7.8801558598869335,0.8374413352195511
2022,-5.11694815848468,-10.725237184408797,-0.5386984152093751
2023,10.771090135236182,-7.152227387197875,1.3536678082091969
2024,17.225777888609528,-7.70803248731194,1.5477782009064684
2025,22.470639246198477,-9.194243806344538,1.6946529387625109
2026,5.635097990752058,-4.89789698635973,1.4222991099078357
